,plot_x_0,plot_x_1,plot_x_2,plot_y_0,plot_y_1,plot_y_2
0,-10.0,-10.0,-10.0,-13.2528037687,-20.645140173,-38.4098192138
1,-9.39393939394,-9.39393939394,-9.39393939394,-12.7270325624,-20.1193689667,-37.8392546086
2,-8.78787878788,-8.78787878788,-8.78787878788,-12.201261356,-19.5935977603,-37.2686900034
3,-8.18181818182,-8.18181818182,-8.18181818182,-11.6099528434,-19.0022892477,-36.6736198769
4,-7.57575757576,-7.57575757576,-7.57575757576,-10.7686316439,-18.1609680482,-35.9850657248
5,-6.9696969697,-6.9696969697,-6.9696969697,-9.92731044445,-17.3196468487,-35.2965115726
6,-6.36363636364,-6.36363636364,-6.36363636364,-9.08598924496,-16.4783256492,-34.6079574205
7,-5.75757575758,-5.75757575758,-5.75757575758,-8.24466804547,-15.6370044498,-33.9194032684
8,-5.15151515152,-5.15151515152,-5.15151515152,-7.40334684598,-14.7956832503,-33.2308491162
9,-4.54545454545,-4.54545454545,-4.54545454545,-6.57901557426,-13.9713519785,-32.5852192064
10,-3.93939393939,-3.93939393939,-3.93939393939,-5.78370876247,-13.1760451668,-32.0129182103
11,-3.33333333333,-3.33333333333,-3.33333333333,-4.98840195069,-12.380738355,-31.4406172143
12,-2.72727272727,-2.72727272727,-2.72727272727,-4.1930951389,-11.5854315432,-30.8683162182
13,-2.12121212121,-2.12121212121,-2.12121212121,-3.39778832711,-10.7901247314,-30.2960152222
14,-1.51515151515,-1.51515151515,-1.51515151515,-2.60248151532,-9.99481791961,-29.7237142262
15,-0.909090909091,-0.909090909091,-0.909090909091,-1.97178669882,-9.36412310311,-29.3815061929
16,-0.30303030303,-0.30303030303,-0.30303030303,-1.48661842889,-8.87895483318,-29.2427136773
17,0.30303030303,0.30303030303,0.30303030303,-1.00145015895,-8.39378656324,-29.1039211618
18,0.909090909091,0.909090909091,0.909090909091,-0.516281889019,-7.90861829331,-28.9651286463
19,1.51515151515,1.51515151515,1.51515151515,-0.0311136190831,-7.42345002337,-28.8263361308
20,2.12121212121,2.12121212121,2.12121212121,0.454054650852,-6.93828175343,-28.6875436152
21,2.72727272727,2.72727272727,2.72727272727,1.09935211207,-6.29298429221,-28.0476091122
22,3.33333333333,3.33333333333,3.33333333333,1.81581810275,-5.57651830153,-27.184944837
23,3.93939393939,3.93939393939,3.93939393939,2.53228409343,-4.86005231085,-26.3222805617
24,4.54545454545,4.54545454545,4.54545454545,3.24875008411,-4.14358632018,-25.4596162865
25,5.15151515152,5.15151515152,5.15151515152,3.96521607479,-3.4271203295,-24.5969520113
26,5.75757575758,5.75757575758,5.75757575758,4.68168206547,-2.71065433882,-23.734287736
27,6.36363636364,6.36363636364,6.36363636364,5.23173253958,-2.1606038647,-23.0871878048
28,6.9696969697,6.9696969697,6.9696969697,5.75329747482,-1.63903892947,-22.4769862747
29,7.57575757576,7.57575757576,7.57575757576,6.27486241006,-1.11747399423,-21.8667847447
30,8.18181818182,8.18181818182,8.18181818182,6.7964273453,-0.595909058989,-21.2565832147
31,8.78787878788,8.78787878788,8.78787878788,7.31799228054,-0.0743441237509,-20.6463816846
