,plot_x_0,plot_x_1,plot_x_2,plot_y_0,plot_y_1,plot_y_2
0,-10.0,-10.0,-10.0,-7.71466051688,-15.1069969212,-21.644797842
1,-9.59595959596,-9.59595959596,-9.59595959596,-7.1089894439,-14.5013258482,-21.1333553901
2,-9.19191919192,-9.19191919192,-9.19191919192,-6.50331837092,-13.8956547752,-20.6219129383
3,-8.78787878788,-8.78787878788,-8.78787878788,-5.89764729795,-13.2899837022,-20.1104704864
4,-8.38383838384,-8.38383838384,-8.38383838384,-5.29197622497,-12.6843126293,-19.5990280345
5,-7.9797979798,-7.9797979798,-7.9797979798,-4.67885160499,-12.0711880093,-19.0290942264
6,-7.57575757576,-7.57575757576,-7.57575757576,-4.06399606652,-11.4563324708,-18.4455771176
7,-7.17171717172,-7.17171717172,-7.17171717172,-3.44914052805,-10.8414769323,-17.8620600088
8,-6.76767676768,-6.76767676768,-6.76767676768,-2.83428498958,-10.2266213939,-17.2785429
9,-6.36363636364,-6.36363636364,-6.36363636364,-2.21942945111,-9.6117658554,-16.6950257912
10,-5.9595959596,-5.9595959596,-5.9595959596,-1.60457391264,-8.99691031693,-16.1115086824
11,-5.55555555556,-5.55555555556,-5.55555555556,-0.989718374174,-8.38205477846,-15.5279915736
12,-5.15151515152,-5.15151515152,-5.15151515152,-0.374862835704,-7.76719923999,-14.9444744648
13,-4.74747474747,-4.74747474747,-4.74747474747,0.232114428887,-7.1602219754,-14.366960967
14,-4.34343434343,-4.34343434343,-4.34343434343,0.700659166751,-6.69167723754,-13.89493949
15,-3.93939393939,-3.93939393939,-3.93939393939,1.16920390461,-6.22313249967,-13.422918013
16,-3.53535353535,-3.53535353535,-3.53535353535,1.63774864248,-5.75458776181,-12.950896536
17,-3.13131313131,-3.13131313131,-3.13131313131,2.10629338034,-5.28604302394,-12.478875059
18,-2.72727272727,-2.72727272727,-2.72727272727,2.57483811821,-4.81749828608,-12.006853582
19,-2.32323232323,-2.32323232323,-2.32323232323,3.04338285607,-4.34895354822,-11.534832105
20,-1.91919191919,-1.91919191919,-1.91919191919,3.51192759393,-3.88040881035,-11.0628106281
21,-1.51515151515,-1.51515151515,-1.51515151515,3.9804723318,-3.41186407249,-10.5907891511
22,-1.11111111111,-1.11111111111,-1.11111111111,4.44025418564,-2.95208221864,-10.1187814647
23,-0.707070707071,-0.707070707071,-0.707070707071,4.87920996449,-2.5131264398,-9.6468065533
24,-0.30303030303,-0.30303030303,-0.30303030303,5.31816574333,-2.07417066095,-9.17483164193
25,0.10101010101,0.10101010101,0.10101010101,5.75712152218,-1.63521488211,-8.70285673056
26,0.505050505051,0.505050505051,0.505050505051,6.19607730102,-1.19625910327,-8.2308818192
27,0.909090909091,0.909090909091,0.909090909091,6.63503307986,-0.757303324423,-7.75890690783
28,1.31313131313,1.31313131313,1.31313131313,7.07398885871,-0.318347545578,-7.28693199646
29,1.71717171717,1.71717171717,1.71717171717,7.51294463755,0.120608233266,-6.8149570851
30,2.12121212121,2.12121212121,2.12121212121,7.9519004164,0.55956401211,-6.34298217373
31,2.52525252525,2.52525252525,2.52525252525,8.31722195417,0.924885549879,-5.84657177674
32,2.92929292929,2.92929292929,2.92929292929,8.61942842816,1.22709202387,-5.32921667778
33,3.33333333333,3.33333333333,3.33333333333,8.92163490215,1.52929849786,-4.81186157882
34,3.73737373737,3.73737373737,3.73737373737,9.22384137614,1.83150497185,-4.29450647986
35,4.14141414141,4.14141414141,4.14141414141,9.52604785013,2.13371144584,-3.7771513809
36,4.54545454545,4.54545454545,4.54545454545,9.82825432412,2.43591791983,-3.25979628194
37,4.94949494949,4.94949494949,4.94949494949,10.1304607981,2.73812439382,-2.74244118298
38,5.35353535354,5.35353535354,5.35353535354,10.4326672721,3.04033086781,-2.22508608402
39,5.75757575758,5.75757575758,5.75757575758,10.7348737461,3.3425373418,-1.70773098506
40,6.16161616162,6.16161616162,6.16161616162,10.9889653114,3.59662890709,-1.30575910652
41,6.56565656566,6.56565656566,6.56565656566,11.2295467792,3.83721037487,-0.936185472132
42,6.9696969697,6.9696969697,6.9696969697,11.4701282469,4.07779184264,-0.566611837744
43,7.37373737374,7.37373737374,7.37373737374,11.7107097147,4.31837331042,-0.197038203357
44,7.77777777778,7.77777777778,7.77777777778,11.9512911825,4.55895477819,0.17253543103
45,8.18181818182,8.18181818182,8.18181818182,12.1918726503,4.79953624596,0.542109065418
46,8.58585858586,8.58585858586,8.58585858586,12.432454118,5.04011771374,0.911682699805
47,8.9898989899,8.9898989899,8.9898989899,12.6730355858,5.28069918151,1.28125633419
48,9.39393939394,9.39393939394,9.39393939394,12.9082755913,5.51593918706,1.65078101884
49,9.79797979798,9.79797979798,9.79797979798,12.9173936961,5.52505729178,2.01823349793
50,10.202020202,10.202020202,10.202020202,12.9265118008,5.5341753965,2.38568597703
51,10.6060606061,10.6060606061,10.6060606061,12.9356299055,5.54329350122,2.75313845612
